a [um],n [log cm-3]
.1,-10
.125,-6.5
.15,-5.25
.2,-3.75
.3,-2.5
.4,-2.5
.5,-3.25
.6,-4.0
.7,-4.75
.8,-5.75
.9,-6.75
1.,-7.5
