p,Sequence,name,simbad,feh,cfe,nfe,ofe,nafe,mgfe,alfe,sife,cafe,scfe,tife,vfe,crfe,mnfe,cofe,nife,znfe,gafe,gefe,srfe,yfe,zrfe,nbfe,mofe,rufe,rhfe,pdfe,agfe,bafe,lafe,cefe,prfe,ndfe,smfe,eufe,gdfe,tbfe,dyfe,hofe,erfe,tmfe,ybfe,lufe,hffe,osfe,irfe,ptfe,aufe,pbfe,thfe,ufe,ref
1,752,Car10,Car10,-1.92,nan,nan,0.2,-0.59,0.02,nan,0.4,-0.02,-0.02,0.18,nan,-0.18,-0.48,-0.25,-0.07,-0.18,nan,nan,nan,-0.3,nan,nan,nan,nan,nan,nan,nan,0.18,0.35,nan,nan,0.63,nan,0.77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SHE03
1,753,Car12,Car12,-1.39,nan,nan,0.29,-0.19,0.2,0.03,0.24,0.12,-0.04,0.06,nan,0,-0.38,-0.02,-0.05,-0.2,nan,nan,nan,-0.45,nan,nan,nan,nan,nan,nan,nan,0.04,0.21,nan,nan,0.2,nan,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SHE03
1,754,Car2,Car2,-1.58,nan,nan,0.56,-0.31,0.19,0,0.2,0.2,-0.26,0.07,nan,0.13,-0.39,nan,-0.14,0.06,nan,nan,nan,-0.44,nan,nan,nan,nan,nan,nan,nan,0.04,0.15,nan,nan,0.23,nan,0.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SHE03
1,755,Car3,Car3,-1.63,nan,nan,0.16,-0.51,-0.31,0,-0.26,-0.1,-0.78,-0.11,nan,0.21,-0.5,-0.17,-0.06,-0.28,nan,nan,nan,-0.48,nan,nan,nan,nan,nan,nan,nan,0.13,0.04,nan,nan,0.32,nan,0.36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SHE03
1,756,Car4,Car4,-1.57,nan,nan,0.34,-0.28,0.22,0.2,0.27,0.14,-0.36,0.03,nan,-0.1,-0.38,0.01,-0.03,-0.08,nan,nan,nan,-0.37,nan,nan,nan,nan,nan,nan,nan,-0.05,0.22,nan,nan,0.29,nan,0.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SHE03
1,757,ComBer-S1,ComBer-S1,-2.36,0.02,nan,0.74,-0.76,0.14,1.16,0.59,0.13,-0.47,-0.01,-0.39,0.06,-0.67,0.06,-0.5,-0.13,nan,nan,-1.31,-1.04,-0.4,nan,nan,nan,nan,nan,nan,-2.29,-0.31,-0.39,nan,0.06,0.22,-0.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FRE10a
1,758,ComBer-S2,ComBer-S2,-2.93,0.1,nan,1.58,-0.18,0.96,1.63,1.13,0.65,0.5,0.4,0.46,-0.49,-0.3,0.5,0.14,0.15,nan,nan,-1.54,-0.45,0.4,nan,nan,nan,nan,nan,nan,-1.87,0.13,0.01,nan,0.52,0.62,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FRE10a
1,759,ComBer-S3,ComBer-S3,-2.58,-0.43,nan,0.74,0.17,0.48,1.19,0.55,0.62,-0.57,0.28,-0.25,-0.29,-0.65,0.12,-0.13,0.19,nan,nan,-1.29,-1.2,-0.85,nan,nan,nan,nan,nan,nan,-1.27,-0.6,-0.69,nan,-0.16,-0.09,-0.61,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FRE10a
1,760,Draco11,Dra11,-1.7,nan,nan,0.12,0.07,0.03,0,0.02,0.16,nan,0.11,nan,0,-0.56,-0.28,0.01,-0.19,nan,nan,nan,-0.67,nan,nan,nan,nan,nan,nan,nan,0.04,nan,-0.18,nan,0.29,0.38,0.52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SHE01
1,762,Draco119,Dra119,-2.93,-0.32,1.7,0.75,0.43,0.5,-0.24,0.22,-0.07,0.21,0.21,0.19,-0.41,-0.75,0.04,-0.14,-0.46,nan,nan,-2.54,-0.58,0.15,nan,nan,nan,nan,nan,nan,-2.55,nan,nan,nan,0.81,nan,0.41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL04
1,763,Draco24,Dra24,-2.34,nan,nan,0.5,-0.26,0.22,nan,nan,0.07,nan,-0.02,nan,0.05,-0.06,-0.16,0.32,0.12,nan,nan,nan,0.01,nan,nan,nan,nan,nan,nan,nan,-1.26,nan,-0.05,nan,0.06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SHE01
1,764,Draco267,Dra267,-1.65,nan,nan,0.33,-0.52,-0.08,nan,0.02,0.19,nan,0.04,-0.15,-0.04,-0.34,-0.09,0.37,0.02,nan,nan,nan,-0.72,nan,nan,nan,nan,nan,nan,nan,0.34,nan,0.14,nan,0.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SHE01
1,765,Draco343,Dra343,-1.84,nan,nan,0.54,-0.08,0.02,0,0.02,0.03,nan,-0.01,0.03,-0.48,-0.62,-0.29,-0.05,-0.26,nan,nan,nan,-0.44,nan,nan,nan,nan,nan,nan,nan,0.02,nan,-0.58,nan,-0.13,0.2,0.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SHE01
1,766,Draco473,Dra473,-1.42,nan,nan,-0.2,0.03,-0.23,nan,0.02,0.18,nan,-0.16,-0.63,-0.04,-0.38,0.03,0.2,0.14,nan,nan,nan,-0.73,nan,nan,nan,nan,nan,nan,nan,-0.08,nan,-0.02,nan,0.56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SHE01
1,767,Draco19219,Draco19219,-3.06,0.53,nan,nan,-0.16,0.32,nan,0.44,-0.02,-0.01,0.07,nan,-0.46,-0.55,0.1,0.13,nan,nan,nan,-1.42,nan,nan,nan,nan,nan,nan,nan,nan,-0.55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH09
1,768,Draco19629,Draco19629,-2.7,-0.23,nan,nan,-0.16,0.19,nan,0.6,0.17,-0.07,0.09,nan,-0.42,-0.26,0.08,0.08,nan,nan,nan,-1.32,nan,nan,nan,nan,nan,nan,nan,nan,-0.72,nan,nan,nan,nan,nan,1.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH09
1,769,Draco21456,Draco21456,-2.39,-0.28,nan,0.57,-0.33,0.18,nan,0.59,0,0.09,0.18,nan,-0.28,-0.54,0.52,0.18,nan,nan,nan,nan,-0.16,nan,nan,nan,nan,nan,nan,nan,0.26,nan,0.28,nan,0.8,nan,1.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH09
1,770,Draco3053,Draco3053,-1.78,-0.59,nan,0.51,-0.5,-0.01,nan,0.08,-0.01,-0.26,0.12,-0.19,-0.2,-0.42,-0.09,-0.2,-0.32,nan,nan,-0.45,-0.6,nan,nan,nan,nan,nan,nan,nan,-0.16,nan,-0.27,nan,0.08,nan,0.43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH09
1,771,Draco3150,Draco3150,-1.94,-0.43,nan,nan,-0.34,0.17,nan,0.17,0.07,-0.04,0.06,0.04,-0.22,-0.32,0.18,-0.1,0.1,nan,nan,0.01,-0.18,-0.01,nan,nan,nan,nan,nan,nan,0.13,nan,0.06,nan,0.46,nan,0.88,nan,nan,0.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH09
1,772,Draco3157,Draco3157,-2.5,-0.08,nan,0.59,0.14,0.18,-0.55,0.35,0.22,0.04,0.4,nan,-0.03,-0.4,0.12,0.01,0.29,nan,nan,-0.69,nan,-0.31,nan,nan,nan,nan,nan,nan,-0.46,nan,nan,nan,nan,nan,3.22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH09
1,773,Draco361,Draco361,-1.54,-0.33,nan,0.19,-0.35,-0.01,nan,-0.14,-0.09,-0.2,0.09,-0.16,-0.03,-0.36,-0.17,-0.27,-0.47,nan,nan,-0.42,-0.54,nan,nan,nan,nan,nan,nan,nan,0.02,nan,-0.36,nan,-0.04,nan,0.23,nan,nan,-0.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH09
1,774,DracoXI-2,DracoXI-2,-2.04,-0.63,nan,0.06,-0.93,-0.38,nan,-0.13,-0.23,-0.39,0.14,nan,-0.5,-0.61,-0.17,-0.29,0.03,nan,nan,-1.04,nan,nan,nan,nan,nan,nan,nan,nan,-1.12,nan,nan,nan,nan,nan,0.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH09
1,775,Fnx12,Fnx12,-1.58,nan,nan,0.1,-0.44,0.05,nan,0.31,0.23,-0.18,-0.13,nan,-0.02,-0.41,0.06,-0.11,-0.22,nan,nan,nan,-0.56,nan,nan,nan,nan,nan,nan,nan,-0.12,-0.17,nan,nan,0.16,nan,0.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SHE03
1,776,Fnx21,Fnx21,-0.65,nan,nan,0.24,0.09,0.16,-0.04,0.1,0.23,-0.02,0.33,nan,-0.05,-0.4,-0.06,-0.01,nan,nan,nan,nan,0.64,nan,nan,nan,nan,nan,nan,nan,0.86,1.34,nan,nan,1.14,nan,0.58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SHE03
1,777,Fnx25,Fnx25,-1.19,nan,nan,0.29,-0.24,-0.02,0.09,nan,0.21,-0.23,-0.33,nan,0.34,-0.46,-0.05,-0.07,0.1,nan,nan,nan,-0.51,nan,nan,nan,nan,nan,nan,nan,0.49,0.01,nan,nan,0.29,nan,0.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SHE03
1,778,G4-36,G   4-36,-1.93,0.09,0.09,0.44,-0.19,-0.21,-1.42,-0.22,-0.19,-0.74,0.67,0.39,0.37,0.33,0.26,0.51,1.04,1.61,nan,-0.55,-0.74,nan,nan,nan,nan,nan,nan,nan,-0.77,3.44,nan,nan,nan,nan,1.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IVA03
1,779,G4-37,G   4-37,-2.75,nan,nan,nan,nan,0.25,nan,nan,0.38,nan,0.46,nan,-0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ARN05
1,780,HIP44716,G   9-47,-1.06,nan,nan,nan,-0.08,0.32,nan,0.37,0.3,nan,0.31,0.09,-0.05,nan,nan,0.06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,781,HIP59109,G  13-9,-2.6,nan,nan,nan,0.41,0.58,nan,nan,0.58,nan,0.59,nan,0.07,nan,nan,nan,nan,nan,nan,nan,0.04,0.21,nan,nan,nan,nan,nan,nan,-0.45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,782,HIP64115,G  14-32,-0.72,nan,nan,nan,0.22,0.43,0.41,0.41,0.27,nan,0.34,0.27,0.06,nan,nan,0.1,nan,nan,nan,nan,0.05,0.58,nan,nan,nan,nan,nan,nan,-0.08,nan,nan,nan,nan,nan,0.36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,783,HIP81461,G  17-30,-0.63,nan,nan,nan,0.25,0.43,0.39,0.43,0.25,nan,0.35,0.13,0.08,nan,nan,0.11,nan,nan,nan,nan,0,0.1,nan,nan,nan,nan,nan,nan,-0.06,nan,nan,nan,nan,nan,0.52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,784,HIP85757,G  20-6,-0.74,nan,nan,nan,0.2,0.41,nan,0.4,0.39,nan,0.36,0.11,0.13,nan,nan,0.1,nan,nan,nan,nan,0.13,nan,nan,nan,nan,nan,nan,nan,0.02,nan,nan,nan,nan,nan,0.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,786,HIP86443,G  20-8,-2.3,nan,nan,nan,nan,0.48,nan,nan,0.38,nan,0.47,nan,0.01,nan,nan,0.08,nan,nan,nan,nan,0.08,nan,nan,nan,nan,nan,nan,nan,-0.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,787,HIP92781,G  22-6,-0.73,nan,nan,nan,0.16,0.33,0.33,0.35,0.26,nan,0.3,0.14,0.01,nan,nan,0.05,nan,nan,nan,nan,0.1,-0.04,nan,nan,nan,nan,nan,nan,0.17,nan,nan,nan,nan,nan,0.34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,788,HIP115167,G  29-23,-1.75,nan,nan,nan,0.17,0.29,nan,0.42,0.43,nan,0.43,nan,-0.02,nan,nan,0.1,nan,nan,nan,nan,-0.04,nan,nan,nan,nan,nan,nan,nan,0.06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,789,HIP7217,G  34-36,-0.46,nan,nan,nan,0.06,0.28,0.25,0.28,0.16,nan,0.3,0.15,0.08,nan,nan,0.07,nan,nan,nan,nan,-0.05,-0.01,nan,nan,nan,nan,nan,nan,-0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
