p,Sequence,name,simbad,feh,cfe,nfe,ofe,nafe,mgfe,alfe,sife,cafe,scfe,tife,vfe,crfe,mnfe,cofe,nife,znfe,gafe,gefe,srfe,yfe,zrfe,nbfe,mofe,rufe,rhfe,pdfe,agfe,bafe,lafe,cefe,prfe,ndfe,smfe,eufe,gdfe,tbfe,dyfe,hofe,erfe,tmfe,ybfe,lufe,hffe,osfe,irfe,ptfe,aufe,pbfe,thfe,ufe,ref
1,1,HIP107975,15 Peg,-0.61,nan,nan,nan,0.24,0.23,0.09,0.26,0.14,nan,0.17,0.18,-0.02,nan,nan,0.07,nan,nan,nan,nan,-0.05,-0.01,nan,nan,nan,nan,nan,nan,0.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,2,CS22497-017,22497-0017,-1.17,nan,nan,nan,nan,0.63,nan,nan,0.27,0.12,0.47,nan,0.34,-0.29,nan,nan,nan,nan,nan,-0.21,nan,nan,nan,nan,nan,nan,nan,nan,0.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,3,CS22497-030,22497-0030,-2.14,nan,nan,nan,nan,0.38,nan,nan,0.46,0,0.48,nan,-0.25,-0.06,nan,nan,nan,nan,nan,0.93,nan,nan,nan,nan,nan,nan,nan,nan,2.45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,4,CS22499-057,22499-0057,-2.31,nan,nan,nan,nan,0.54,nan,nan,0.9,0.5,0.69,nan,0.06,-0.06,nan,nan,nan,nan,nan,-0.22,nan,nan,nan,nan,nan,nan,nan,nan,-0.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,5,CS22509-027,22509-0027,-2,nan,nan,nan,nan,0.47,nan,nan,0.17,-0.19,0.42,nan,-0.14,-0.06,nan,nan,nan,nan,nan,0.65,nan,nan,nan,nan,nan,nan,nan,nan,1.53,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,6,CS22517-021,22517-0021,-0.97,nan,nan,nan,nan,0.13,nan,nan,0.07,0.35,0.58,nan,-0.26,-0.42,nan,nan,nan,nan,nan,0.27,nan,nan,nan,nan,nan,nan,nan,nan,-0.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,7,CS22518-039,22518-0039,-2.47,nan,nan,nan,nan,0.19,nan,nan,0.23,-0.13,0.32,nan,-0.27,-0.06,nan,nan,nan,nan,nan,0.45,nan,nan,nan,nan,nan,nan,nan,nan,1.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,8,CS22957-022,2MASS J00014549-0549465,-2.92,0.24,0.29,0.73,nan,0.25,nan,nan,0.23,0.07,0.4,0.11,-0.28,-0.81,0.21,0,0.34,nan,nan,-0.31,-0.34,-0.03,nan,nan,nan,nan,nan,nan,-1.06,nan,nan,nan,nan,nan,-0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LAI08
1,10,CS29503-010,2MASS J00045537-2424193,-1.11,1.08,1.28,nan,0.1,0.34,nan,nan,0.18,0.26,0.39,nan,-0.07,nan,nan,0.07,0.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.54,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AOK07a
1,11,HE0005-0002,2MASS J00080677+0014089,-3.06,0.13,nan,nan,nan,0.39,-0.42,nan,0.37,0.11,0.24,nan,-0.66,-0.37,0.1,0.1,nan,nan,nan,0.29,0.07,0.46,nan,nan,nan,nan,nan,nan,-0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,12,CS31060-047,2MASS J00080780-1554038,-2.72,-0.3,nan,nan,nan,0.23,-1.09,nan,0.14,0.1,0.23,nan,-0.39,-0.29,0.05,0.28,nan,nan,nan,-0.04,nan,nan,nan,nan,nan,nan,nan,nan,-1.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,13,HE0007-1832,2MASS J00095277-1816124,-2.7,2.56,1.87,nan,nan,0.75,-0.47,0.25,0.39,nan,0.48,nan,nan,-0.22,0.66,0.1,nan,nan,nan,0.22,nan,nan,nan,nan,nan,nan,nan,nan,0.16,1.9,nan,nan,nan,nan,1.83,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.29,nan,nan,COH04
1,14,HE0008-3842,2MASS J00105603-3826100,-3.33,-0.93,nan,nan,nan,0.31,-0.82,nan,-0.03,0.03,0.04,nan,-0.67,-0.88,-0.13,-0.14,nan,nan,nan,-1.4,nan,nan,nan,nan,nan,nan,nan,nan,-1.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,15,CS31070-058,2MASS J00143392+0551447,-2.29,0.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17,nan,nan,nan,nan,nan,nan,nan,nan,-0.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LAI07
1,16,HE0012-1441,2MASS J00152706-1424376,-2.57,1.8,0.79,nan,nan,0.9,nan,nan,0.49,nan,0.22,nan,-0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.17,nan,nan,COH06
1,17,HE0017-4838,2MASS J00194832-4821236,-3.23,-0.33,nan,nan,nan,0.23,-0.87,nan,0.29,0.25,0.43,nan,-0.35,-0.62,0.25,0.19,nan,nan,nan,0.78,0.37,nan,nan,nan,nan,nan,nan,nan,-0.83,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,18,CS22882-001,2MASS J00202529-3139040,-2.49,0.06,nan,nan,nan,0.25,-0.65,0.23,0.39,0.21,0.46,0.46,-0.1,-0.58,nan,nan,nan,nan,nan,0.29,-0.11,nan,nan,nan,nan,nan,nan,nan,0.13,0.69,nan,nan,nan,nan,0.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE06
1,19,BS17570-063,2MASS J00203619+2347376,-2.92,0.49,nan,nan,nan,0.06,nan,0.08,0.31,0.31,0.52,nan,-0.2,-0.8,0.24,3.28,3.36,nan,nan,0.08,nan,nan,nan,nan,nan,nan,nan,nan,-0.31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BON09
1,20,HE0018-1349,2MASS J00205238-1332296,-2.27,0.33,nan,nan,nan,0.29,-0.93,nan,0.25,0.07,0.28,nan,-0.05,-0.31,0.18,0.05,nan,nan,nan,0.05,nan,nan,nan,nan,nan,nan,nan,nan,0.43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,21,CS30339-041,2MASS J00231293-3701267,-2.21,-0.45,nan,nan,nan,0.28,-1.04,nan,0.35,0.18,0.37,nan,-0.31,-0.58,0,-0.01,nan,nan,nan,0.25,-0.11,nan,nan,nan,nan,nan,nan,nan,0.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,22,HE0023-4825,2MASS J00255030-4808270,-2.06,0.27,nan,nan,nan,0.2,-0.99,nan,0.28,0.05,0.38,nan,0.03,-0.49,0.05,0.03,nan,nan,nan,0.08,-0.02,nan,nan,nan,nan,nan,nan,nan,-0.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,23,HE0024-2523,2MASS J00272766-2506281,-2.72,2.69,2.19,0.54,-0.08,0.71,-0.33,0.38,0.68,0.39,0.22,nan,-0.38,-0.3,nan,nan,nan,nan,nan,0.44,0.94,1.24,nan,nan,nan,nan,nan,nan,1.41,1.87,nan,nan,nan,nan,1.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.5,nan,nan,LUC03
1,26,CS29497-004,2MASS J00280692-2603042,-2.81,0.18,nan,nan,nan,0.29,-1.02,nan,0.3,0.07,0.28,nan,-0.32,-0.44,0.17,0.07,nan,nan,nan,0.67,0.68,0.96,nan,nan,nan,nan,nan,nan,1.16,1.28,nan,nan,1.37,nan,1.61,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,27,CS30339-069,2MASS J00301595-3556512,-3.08,0.65,nan,nan,nan,0.16,nan,-0.08,0.45,0.19,0.45,nan,-0.21,-0.75,0.26,3.66,3.68,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BON09
1,28,CS31062-050,2MASS J00303106-1205108,-2.41,nan,nan,nan,nan,0.82,nan,nan,0.5,nan,0.32,-0.08,0.13,-0.33,0.02,-0.13,0.17,nan,nan,nan,0.5,0.88,nan,nan,nan,nan,1.11,nan,2.58,2.26,2.07,1.82,2.06,1.98,1.9,1.85,1.55,1.7,1.53,2.27,2.02,2.07,2.21,2.23,1.76,1.38,nan,nan,3.11,nan,nan,JOH04
1,31,HE0028-2152,2MASS J00310766-2136072,-2.77,nan,nan,nan,nan,0.59,-0.11,0.15,0.44,0.14,0.44,1.14,-0.13,-0.63,0.37,0.07,0.68,nan,nan,-0.37,0.42,nan,nan,nan,nan,nan,nan,nan,-0.59,nan,nan,nan,nan,nan,1.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH04
1,32,HE0029-1839,2MASS J00320775-1822368,-2.5,0.28,nan,nan,nan,-0.02,-0.98,nan,0.13,-0.37,-0.06,nan,-0.1,-0.91,-0.1,-0.44,nan,nan,nan,0.13,-0.35,0.15,nan,nan,nan,nan,nan,nan,-1.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,33,CS31062-041,2MASS J00350301-1554292,-2.68,0.45,nan,nan,nan,0.31,-0.83,nan,0.26,0.19,0.21,nan,-0.54,-0.67,-0.07,-0.05,nan,nan,nan,-0.29,-0.48,nan,nan,nan,nan,nan,nan,nan,-0.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,35,HE0037-2657,2MASS J00395177-2641320,-3.22,0.27,nan,nan,nan,0.25,-0.82,nan,0.34,0.15,0.29,nan,-0.36,-0.73,0.17,0,nan,nan,nan,-0.54,-0.49,nan,nan,nan,nan,nan,nan,nan,-1.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,36,HE0039-4154,2MASS J00414341-4137573,-3.36,-0.18,nan,nan,nan,0.53,-0.42,nan,0.25,0.25,0.2,nan,-0.58,-0.96,0.24,-0.02,nan,nan,nan,-0.14,-0.34,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,37,HE0043-2845,2MASS J00455594-2829172,-2.91,0.16,nan,nan,nan,0.28,-0.81,nan,0.22,0.09,0.32,nan,-0.07,-0.73,0.29,0.04,nan,nan,nan,-0.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,38,HE0044-4023,2MASS J00462937-4007226,-2.56,0.36,nan,nan,nan,0.22,-1.03,nan,0.24,-0.15,0.24,nan,-0.2,-0.7,0.07,-0.12,nan,nan,nan,0.03,nan,nan,nan,nan,nan,nan,nan,nan,-0.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,39,HE0044-2459,2MASS J00463587-2443022,-3.28,0.41,nan,nan,nan,0.33,-0.87,nan,0.29,0.24,0.4,nan,-0.45,-1.03,0.24,-0.01,nan,nan,nan,-1.55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,40,HE0045-2430,2MASS J00474055-2414019,-1.77,-0.12,nan,nan,nan,-0.06,-1.07,nan,0.11,-0.08,0.11,0,-0.05,-0.29,-0.22,-0.45,0.02,nan,nan,-0.64,-0.57,0.12,nan,nan,nan,nan,nan,nan,-0.38,nan,nan,nan,nan,nan,0.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,41,HE0049-5700,2MASS J00520684-5644374,-2.4,0.35,nan,nan,nan,0.35,-0.96,nan,0.39,0.14,0.4,nan,-0.16,-0.69,0,-0.2,nan,nan,nan,0.19,nan,nan,nan,nan,nan,nan,nan,nan,-0.47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,42,HE0051-2304,2MASS J00535152-2247539,-2.44,-0.68,nan,nan,nan,0.29,-0.68,nan,0.22,0.09,0.26,-0.1,-0.48,-0.56,-0.13,-0.15,0.2,nan,nan,0.03,-0.17,0.21,nan,nan,nan,nan,nan,nan,-0.11,-0.03,nan,nan,0.02,nan,0.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,43,HE0054-2123,2MASS J00565323-2107295,-2.56,nan,nan,nan,nan,0.32,-0.1,0.16,0.39,0.33,0.6,nan,-0.07,-0.82,0.2,0.13,0.61,nan,nan,-0.19,nan,nan,nan,nan,nan,nan,nan,nan,-0.26,nan,nan,nan,2.25,nan,1.59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH04
1,44,HE0054-0657,2MASS J00572078-0640593,-2,0.25,nan,nan,nan,0.21,-0.78,nan,0.13,-0.09,0.22,nan,0.05,-0.43,0.14,0.1,nan,nan,nan,0.05,nan,nan,nan,nan,nan,nan,nan,nan,-0.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,45,CS22166-016,2MASS J00582384-1447068,-2.47,0.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3,nan,nan,nan,nan,nan,nan,nan,nan,-0.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LAI07
1,46,HE0057-4541,2MASS J00595927-4524534,-2.31,0.14,nan,nan,nan,0.24,-0.83,nan,0.27,0.09,0.23,0.04,-0.25,-0.37,0.02,-0.14,0.18,nan,nan,0.16,-0.04,0.37,nan,nan,nan,nan,nan,nan,-0.16,0.3,nan,nan,0.36,nan,0.62,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,47,HE0058-0244,2MASS J01005303-0228200,-2.8,2.13,1.92,nan,nan,0.53,0.41,nan,1.03,0.56,0.64,nan,-0.27,-0.39,0.15,-0.25,nan,nan,nan,0.42,0.6,nan,nan,nan,nan,nan,nan,nan,2.04,1.79,1.9,nan,2.04,nan,1.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.04,nan,nan,COH06
1,51,CS22953-003,2MASS J01021585-6143458,-2.85,0.4,0.22,0.81,0.25,0.12,-0.95,0.3,0.25,0.02,0.19,nan,-0.36,-0.39,0.11,-0.04,0.2,nan,nan,0.33,0.18,0.39,nan,nan,nan,nan,nan,nan,0.45,0.74,0.67,0.68,0.81,0.4,1.05,1.07,nan,1.09,0.97,1.08,nan,1.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,CAY04
1,52,HE0102-0633,2MASS J01052570-0617353,-2.95,nan,nan,nan,nan,0.4,-0.03,0.23,0.5,0.13,0.31,1.36,-0.16,-0.62,0.45,0.21,0.94,nan,nan,-0.41,0.77,nan,nan,nan,nan,nan,nan,nan,-0.05,nan,nan,nan,nan,nan,1.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH04
1,53,HE0104-5300,2MASS J01065190-5244105,-3.31,-0.05,nan,nan,nan,0.23,-0.83,nan,0.24,-0.04,0.26,nan,-0.5,-0.99,0.06,0.16,nan,nan,nan,-0.49,-0.22,nan,nan,nan,nan,nan,nan,nan,-1.57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,54,HE0104-4007,2MASS J01065601-3951512,-3.3,0.46,nan,nan,nan,0.19,-1.01,nan,0.37,0.32,0.46,nan,-0.41,-0.7,0.33,0.1,nan,nan,nan,-0.88,nan,nan,nan,nan,nan,nan,nan,nan,-0.69,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,55,HE0105-2202,2MASS J01073122-2146064,-2.6,nan,nan,nan,nan,0.47,-0.24,0.25,0.28,0.2,0.4,nan,-0.21,-0.7,0.47,-0.14,nan,nan,nan,-0.29,nan,nan,nan,nan,nan,nan,nan,nan,-0.37,nan,nan,nan,nan,nan,1.71,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH04
1,56,HE0105-6141,2MASS J01073782-6125176,-2.55,0.16,nan,nan,nan,0.31,-0.64,nan,0.35,0.23,0.38,nan,-0.18,-0.54,0.11,-0.05,nan,nan,nan,0.08,-0.15,nan,nan,nan,nan,nan,nan,nan,0.13,nan,nan,nan,nan,nan,0.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,57,CS22183-031,2MASS J01090507-0443211,-2.92,0.54,nan,nan,nan,0.39,-0.55,0.77,0.3,0.31,0.44,0.74,nan,-0.5,0.29,0.14,nan,nan,nan,0.14,0.22,nan,nan,nan,nan,nan,nan,nan,0.41,nan,nan,nan,nan,nan,1.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HON04
1,60,HE0107-52403,D 2MASS J01092916-5224341,-5.67,3.03,1.69,2.03,1.18,0.4,0.01,0.61,0.17,0.89,0.06,nan,0.39,0.32,1.28,-0.28,3.13,nan,nan,-0.2,nan,nan,nan,nan,nan,nan,nan,nan,0.9,nan,nan,nan,nan,nan,2.63,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COL06
1,61,HE0109-3711,2MASS J01113841-3655170,-1.91,0.27,nan,nan,nan,nan,nan,nan,0.44,0.14,0.45,nan,-0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,62,HE0109-0742,2MASS J01114706-0726321,-2.52,-0.19,nan,nan,nan,0.28,-0.92,nan,0.25,0.05,0.28,nan,-0.22,-0.68,0.05,-0.12,nan,nan,nan,0.07,-0.36,nan,nan,nan,nan,nan,nan,nan,-0.22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,63,CS29518-020,2MASS J01121320-3100053,-2.77,nan,nan,nan,nan,0.04,nan,nan,0.42,nan,nan,nan,-0.15,nan,nan,2.84,2.81,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BON09
1,64,HE0111-1454,2MASS J01134908-1438231,-2.99,-0.26,nan,nan,nan,0.33,-0.52,nan,0.18,0.05,0.3,0.09,-0.25,-0.25,0.06,0.17,0.72,nan,nan,-0.03,-0.29,0.19,nan,nan,nan,nan,nan,nan,-0.75,nan,nan,nan,nan,nan,-0.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,65,CS22174-007,2MASS J01140647-1102354,-2.24,0.41,1.41,nan,0.36,0.46,nan,nan,0.25,0.05,0.46,nan,-0.14,nan,nan,0.09,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.53,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AOK07a
1,66,CS29518-043,2MASS J01183829-3041026,-3.2,0.09,nan,nan,nan,0.17,nan,0.05,0.42,0.43,0.56,nan,-0.17,-0.68,0.5,3.3,3.24,nan,nan,0.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BON09
1,67,HE0121-2826,2MASS J01233713-2810280,-2.97,0.51,nan,nan,nan,0.41,-0.84,nan,0.38,0.06,0.33,nan,-0.23,-0.73,0.13,-0.12,nan,nan,nan,0.37,0.1,nan,nan,nan,nan,nan,nan,nan,-0.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,68,CS29518-051,2MASS J01241001-2815210,-2.65,-0.08,0.87,0.81,0.36,0.14,-0.81,0.52,0.36,0.12,0.42,nan,-0.23,-0.5,0.23,0.08,0.26,nan,nan,0.15,-0.16,0.14,nan,nan,nan,nan,nan,nan,-0.63,-0.55,-0.13,0.28,-0.04,-0.08,-0.14,-0.08,nan,-0.09,-0.35,-0.12,1.77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CAY04
1,69,HE0130-2303,2MASS J01331821-2248367,-2.93,nan,nan,nan,nan,0.3,-0.58,-0.2,0.49,0.37,0.53,nan,-0.07,-0.47,nan,nan,nan,nan,nan,0.16,nan,nan,nan,nan,nan,nan,nan,nan,-0.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CAR02
1,70,HE0131-2740,2MASS J01332576-2725279,-3.08,0.31,nan,nan,nan,0.35,-0.67,nan,0.35,0.19,0.34,nan,-0.25,nan,nan,0.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,71,HE0131-3953,2MASS J01333645-3937519,-2.68,2.41,nan,nan,nan,0.29,-0.93,nan,0.39,0.61,0.2,nan,-0.18,-0.57,nan,-0.25,nan,nan,nan,0.56,nan,nan,nan,nan,nan,nan,nan,nan,2.16,2.01,1.93,nan,1.84,nan,1.61,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,72,HE0132-2429,2MASS J01345885-2424186,-3.6,0.83,1.22,1.86,-0.18,0.39,-0.11,0.66,0.34,0.76,0.49,0.48,-0.35,-0.89,0.53,0.05,0.93,nan,nan,0.13,0.41,nan,nan,nan,nan,nan,nan,nan,-0.85,nan,nan,nan,nan,nan,1.22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH08
1,74,HE0143-4146,2MASS J01451803-4131464,-2.95,0.07,nan,nan,nan,0.39,-0.58,nan,0.28,0.4,0.43,nan,-0.17,-0.17,0.22,0.07,nan,nan,nan,-0.52,-0.63,nan,nan,nan,nan,nan,nan,nan,-0.84,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,75,HE0143-4108,2MASS J01451993-4053363,-2.62,0.12,nan,nan,nan,0,-1.08,nan,0.03,-0.08,0.36,0.21,-0.07,0.02,0.14,0.27,0.78,nan,nan,-0.84,-0.89,nan,nan,nan,nan,nan,nan,nan,-1.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,77,HE0143-0441,2MASS J01453792-0426434,-2.21,1.67,-0.02,nan,nan,0.46,-0.18,-0.1,0.47,0.85,0.53,nan,-0.29,-0.67,0.49,-0.19,0.61,nan,nan,0.93,0.87,1.31,nan,nan,nan,nan,nan,nan,2.31,2.06,2.15,nan,2.5,nan,1.69,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.75,nan,nan,COH04
1,78,HE0143-1135,2MASS J01461033-1120107,-2.13,0.19,nan,nan,nan,0.31,-0.62,nan,0.28,0.19,0.3,nan,0,-0.23,0.06,-0.06,nan,nan,nan,-0.1,nan,nan,nan,nan,nan,nan,nan,nan,-0.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,79,HE0148-2611,2MASS J01505961-2557031,-2.96,nan,nan,nan,nan,-0.04,-0.74,0.04,0.34,0.5,0.44,nan,-0.26,-0.04,nan,nan,nan,nan,nan,-0.72,nan,nan,nan,nan,nan,nan,nan,nan,-0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CAR02
1,80,HE0157-3335,2MASS J02000022-3321220,-3.08,-0.26,nan,nan,nan,0.38,-0.52,nan,0.24,0.1,0.34,nan,-0.41,-0.95,0.09,0.07,nan,nan,nan,0.15,-0.09,0.34,nan,nan,nan,nan,nan,nan,-0.46,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,81,CS22958-042,2MASS J02010743-5716588,-2.85,3.12,2.12,1.33,2.91,0.3,-0.83,0.19,0.38,0.07,0.26,0.02,-0.12,-0.25,0.13,-0.06,nan,nan,nan,-0.52,nan,nan,nan,nan,nan,nan,nan,nan,-0.73,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SIV06
