p Sequence ref name simbad ulli ulc uln ulo ulna ulmg ulal ulsi ulsc ulti ulv ulcr ulmn ulco ulni ulzn ulga ulge ulsr uly ulzr ulmo ulru ulrh ulpd ulba ulla ulce ulpr ulnd ulsm uleu ulgd ultb uldy ulho uler ultm ullu ulhf ulos ulir ulpt ulag ulpb ulth ulu
1 35 BAR05 HE0037-2657 2MASS J00395177-2641320 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 36 BAR05 HE0039-4154 2MASS J00414341-4137573 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 37 BAR05 HE0043-2845 2MASS J00455594-2829172 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 38 BAR05 HE0044-4023 2MASS J00462937-4007226 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 39 BAR05 HE0044-2459 2MASS J00463587-2443022 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 40 BAR05 HE0045-2430 2MASS J00474055-2414019 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 41 BAR05 HE0049-5700 2MASS J00520684-5644374 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 42 BAR05 HE0051-2304 2MASS J00535152-2247539 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 43 COH04 HE0054-2123 2MASS J00565323-2107295 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1 * 1 * * * * * * * * * * * * * * *
1 44 BAR05 HE0054-0657 2MASS J00572078-0640593 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 45 LAI07 CS22166-016 2MASS J00582384-1447068 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 46 BAR05 HE0057-4541 2MASS J00595927-4524534 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 47 COH06 HE0058-0244 2MASS J01005303-0228200 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
2 48 LAI07 CS22183-015 2MASS J01005303-0228200 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
2 49 JOH02 CS22183-015 2MASS J01005303-0228200 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
2 50 MCW9598 CS22953-003 2MASS J01021585-6143458 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 51 CAY04 CS22953-003 2MASS J01021585-6143458 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 52 COH04 HE0102-0633 2MASS J01052570-0617353 * * * * * * * * * * * * * * * 1 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 53 BAR05 HE0104-5300 2MASS J01065190-5244105 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 54 BAR05 HE0104-4007 2MASS J01065601-3951512 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 55 COH04 HE0105-2202 2MASS J01073122-2146064 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1 * * * * * * * * * * * * * * *
1 56 BAR05 HE0105-6141 2MASS J01073782-6125176 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 57 HON04 CS22183-031 2MASS J01090507-0443211 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
2 58 LAI07 CS22183-031 2MASS J01090507-0443211 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
2 59 COL06 HE0107-52401D 2MASS J01092916-5224341 1 * * * * * 1 1 1 * * 1 1 1 * 1 * * 1 * * * * * * 1 * * * * * 1 * * * * * * * * * * * * * * *
1 60 COL06 HE0107-52403D 2MASS J01092916-5224341 1 * * * * * 1 1 1 * * 1 1 1 * 1 * * 1 * * * * * * 1 * * * * * 1 * * * * * * * * * * * * * * *
1 61 BAR05 HE0109-3711 2MASS J01113841-3655170 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 62 BAR05 HE0109-0742 2MASS J01114706-0726321 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 63 BON09 CS29518-020 2MASS J01121320-3100053 * * * * * * * * * * * * * * * 1 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 64 BAR05 HE0111-1454 2MASS J01134908-1438231 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 65 AOK07a CS22174-007 2MASS J01140647-1102354 * * 1 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 66 BON09 CS29518-043 2MASS J01183829-3041026 * * * * * * * * * * * * * * * 1 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 67 BAR05 HE0121-2826 2MASS J01233713-2810280 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 68 CAY04 CS29518-051 2MASS J01241001-2815210 1 * * * * * * * * * * * * * * * * * * * * * * * * * * 1 * * 1 1 1 * 1 1 1 * * * * * * * * * *
1 69 CAR02 HE0130-2303 2MASS J01331821-2248367 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 70 BAR05 HE0131-2740 2MASS J01332576-2725279 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 71 BAR05 HE0131-3953 2MASS J01333645-3937519 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 72 COH08 HE0132-2429 2MASS J01345885-2424186 * * * 1 * * * * * * * * * * * 1 * * * 1 * * * * * * * * * * * 1 * * * * * * * * * * * * * * *
2 73 CAR02 HE0132-2429 2MASS J01345885-2424186 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 74 BAR05 HE0143-4146 2MASS J01451803-4131464 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 75 BAR05 HE0143-4108 2MASS J01451993-4053363 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
2 76 COH06 HE0143-0441 2MASS J01453792-0426434 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 77 COH04 HE0143-0441 2MASS J01453792-0426434 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 78 BAR05 HE0143-1135 2MASS J01461033-1120107 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 79 CAR02 HE0148-2611 2MASS J01505961-2557031 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 80 BAR05 HE0157-3335 2MASS J02000022-3321220 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 81 SIV06 CS22958-042 2MASS J02010743-5716588 1 * * * * * * * * * * * * * * * * * * * * * * * * 1 * * * * * * * * * * * * * * * * * * * * *
1 82 BAR05 HE0200-0955 2MASS J02031620-0940488 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 83 BAR05 HE0202-2204 2MASS J02045001-2150102 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 84 AOK07a HE0206-1916 2MASS J02091962-1901554 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 85 COH06 HE0212-0557 2MASS J02150250-0543235 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
2 86 BAR05 CS22958-083 2MASS J02154272-5359561 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
