um, n, k
0.433293595, 1.85078654, 0.00155
0.433519117, 1.85078226, 0.00154965
0.433744874, 1.85077767, 0.00154867
0.433970866, 1.85077374, 0.001548
0.434197094, 1.8507698, 0.0015477
0.434423558, 1.85076587, 0.001547
0.434650258, 1.85076194, 0.00154673
0.434877195, 1.850758, 0.00154575
0.435104368, 1.85075383, 0.001545
0.43533178, 1.85074913, 0.00154478
0.435559429, 1.8507452, 0.001544
0.435787317, 1.85074126, 0.00154382
0.436015443, 1.85073733, 0.001543
0.436243808, 1.8507334, 0.00154285
0.436472412, 1.85072946, 0.001542
0.436701256, 1.85072553, 0.00154188
0.43693034, 1.85072159, 0.001541
0.437159665, 1.85071766, 0.00154092
0.43738923, 1.85071373, 0.00154
0.437619037, 1.85070979, 0.00153995
0.437849086, 1.85070586, 0.001539
0.438079376, 1.85070192, 0.00153898
0.438309909, 1.85069799, 0.001538
0.438540684, 1.85069504, 0.001538
0.438771703, 1.85069112, 0.00153703
0.439002965, 1.85068719, 0.001537
0.439234471, 1.85068325, 0.00153606
0.439466221, 1.85067932, 0.001536
0.439698216, 1.85067538, 0.001536
0.439930456, 1.85067234, 0.00153511
0.440162942, 1.85066852, 0.0015054
0.440395673, 1.85066458, 0.001501
0.440628651, 1.85066065, 0.00150184
0.440861875, 1.85065754, 0.001502
0.441095346, 1.85065378, 0.0015028
0.441329065, 1.85064985, 0.00150379
0.441563032, 1.85064668, 0.001504
0.441797246, 1.85064298, 0.00150476
0.44203171, 1.85063978, 0.001505
0.442266422, 1.85063611, 0.00150572
0.442501384, 1.85063288, 0.00150671
0.442736595, 1.85062924, 0.001507
0.442972057, 1.85062598, 0.00150767
0.443207769, 1.85062237, 0.001508
0.443443732, 1.85061908, 0.00150864
0.443679947, 1.85061613, 0.00150962
0.443916413, 1.85061257, 0.00151
0.444153132, 1.85060923, 0.00151059
0.444390103, 1.85060628, 0.00151157
0.444627327, 1.85060333, 0.001512
0.444864805, 1.85060038, 0.00151254
0.445102536, 1.8505969, 0.001513
0.445340522, 1.85059347, 0.00151351
0.445578762, 1.85059052, 0.00151449
0.445817257, 1.85058805, 0.001515
0.446056008, 1.85058562, 0.00151546
0.446295015, 1.85058267, 0.00151644
0.446534277, 1.85057972, 0.001517
0.446773797, 1.85057677, 0.00151741
0.447013574, 1.85057382, 0.00151839
0.447253608, 1.85057125, 0.001519
0.4474939, 1.85056892, 0.00151936
0.44773445, 1.85056631, 0.00152034
0.447975259, 1.85056402, 0.001521
0.448216328, 1.85056138, 0.00152131
0.448457656, 1.85055912, 0.001522
0.448699244, 1.85055644, 0.00152228
0.448941092, 1.85055448, 0.00152326
0.449183201, 1.85055251, 0.001524
0.449425572, 1.85055031, 0.00152423
0.449668204, 1.85054758, 0.00152521
0.449911098, 1.85054561, 0.00152346
0.450154255, 1.85054364, 0.00151139
0.450397675, 1.85054184, 0.00150416
0.450641358, 1.85054071, 0.001505
0.450885305, 1.85053874, 0.001505
0.451129516, 1.85053689, 0.00150511
0.451373992, 1.85053581, 0.001506
0.451618733, 1.85053392, 0.00150608
0.45186374, 1.85053287, 0.001507
0.452109013, 1.85053095, 0.001507
0.452354552, 1.85052997, 0.00150703
0.452600358, 1.85052899, 0.001508
0.452846431, 1.850528, 0.001508
0.453092772, 1.85052702, 0.00150898
0.453339381, 1.85052604, 0.001509
0.453586259, 1.85052505, 0.00150995
0.453833405, 1.85052407, 0.00151
0.454080821, 1.85052308, 0.00151
0.454328507, 1.850523, 0.0015109
0.454576464, 1.85052212, 0.001511
0.454824691, 1.850522, 0.00151187
0.45507319, 1.850522, 0.001512
0.45532196, 1.850522, 0.00151283
0.455571002, 1.850522, 0.001513
0.455820317, 1.850522, 0.001513
0.456069905, 1.850522, 0.00151378
0.456319766, 1.850522, 0.001514
0.456569902, 1.85052275, 0.00151475
0.456820311, 1.850523, 0.001515
0.457070996, 1.85052372, 0.00151572
0.457321956, 1.850524, 0.001516
0.457573191, 1.85052468, 0.00151668
0.457824703, 1.85052567, 0.001517
0.458076491, 1.85052665, 0.001517
0.458328557, 1.85052827, 0.00151764
0.4585809, 1.85052962, 0.001518
0.458833521, 1.8505306, 0.0015186
0.45908642, 1.85053217, 0.001519
0.459339599, 1.85053414, 0.00151957
0.459593057, 1.85053611, 0.00152
0.459846794, 1.85053807, 0.00152054
0.460100812, 1.85054004, 0.00148094
0.460355111, 1.85054201, 0.00144299
0.460609691, 1.85054446, 0.00144151
0.460864553, 1.85054694, 0.00144006
0.461119697, 1.85054936, 0.00143809
0.461375124, 1.85055232, 0.00143656
0.461630834, 1.85055527, 0.00143516
0.461886827, 1.85055821, 0.00143319
0.462143105, 1.85056117, 0.00143161
0.462399667, 1.85056412, 0.00143026
0.462656514, 1.85056742, 0.00142864
0.462913647, 1.85057102, 0.00142766
0.463171065, 1.85057429, 0.00142635
0.46342877, 1.85057823, 0.00142469
0.463686762, 1.85058216, 0.00142342
0.463945041, 1.85058609, 0.00142173
0.464203609, 1.85059029, 0.00142049
0.464462464, 1.85059496, 0.00141876
0.464721609, 1.85059912, 0.00141778
0.464981043, 1.85060404, 0.00141658
0.465240766, 1.85060876, 0.00141481
0.46550078, 1.85061287, 0.00141383
0.465761085, 1.85061795, 0.00141284
0.466021681, 1.85062371, 0.00141172
0.466282569, 1.85062863, 0.00140987
0.466543749, 1.85063365, 0.00140889
0.466805221, 1.85063946, 0.00140791
0.467066988, 1.85064445, 0.00140685
0.467329047, 1.85065035, 0.00140494
0.467591401, 1.85065626, 0.00140396
0.46785405, 1.85066216, 0.00140297
0.468116994, 1.85066806, 0.00140199
0.468380234, 1.85067396, 0.00140101
0.46864377, 1.85067986, 0.00140002
0.468907602, 1.85068672, 0.00139904
0.469171732, 1.85069266, 0.00139806
0.46943616, 1.85069949, 0.00139614
0.469700886, 1.85070547, 0.00139509
0.46996591, 1.85071226, 0.00139411
0.470231234, 1.85071915, 0.0014388
0.470496858, 1.85072603, 0.00144328
0.470762782, 1.85073292, 0.00144215
0.471029006, 1.8507398, 0.00144034
0.471295532, 1.85074669, 0.00143919
0.47156236, 1.85075437, 0.00143741
0.47182949, 1.85076145, 0.00143622
0.472096923, 1.85076834, 0.00143447
0.472364659, 1.85077597, 0.00143325
0.472632699, 1.85078311, 0.00143154
0.472901043, 1.85079071, 0.00143029
0.473169693, 1.85079788, 0.0014293
0.473438647, 1.85080544, 0.00142832
0.473707908, 1.85081265, 0.00142667
0.473977475, 1.85082018, 0.00142535
0.474247349, 1.85082805, 0.00142437
0.47451753, 1.8508353, 0.00142277
0.47478802, 1.85084279, 0.0014214
0.475058818, 1.85085066, 0.00142042
0.475329925, 1.85085796, 0.00141943
0.475601342, 1.85086539, 0.00141845
0.475873069, 1.85087326, 0.00141693
0.476145106, 1.85088061, 0.00141548
0.476417455, 1.85088799, 0.0014145
0.476690116, 1.85089538, 0.00141352
0.476963088, 1.85090273, 0.00141253
0.477236374, 1.8509106, 0.00141155
0.477509973, 1.85091803, 0.00141057
0.477783886, 1.85092492, 0.00140958
0.478058113, 1.8509322, 0.0014086
0.478332655, 1.85093969, 0.00140762
0.478607513, 1.85094694, 0.00140663
0.478882687, 1.85095446, 0.00140565
0.479158177, 1.85096134, 0.00140467
0.479433985, 1.85096823, 0.00140368
0.47971011, 1.85097511, 0.0014027
0.479986554, 1.850982, 0.00137233
0.480263316, 1.85098888, 0.001298
0.480540398, 1.85099552, 0.00129775
0.480817799, 1.85100165, 0.001297
0.481095521, 1.85100854, 0.001297
0.481373564, 1.85101522, 0.0012968
0.481651929, 1.85102112, 0.001296
0.481930615, 1.85102719, 0.00129583
0.482209625, 1.85103392, 0.001295
0.482488958, 1.85103982, 0.001295
0.482768614, 1.85104572, 0.00129488
0.483048595, 1.85105152, 0.001294
0.483328901, 1.85105653, 0.00129391
0.483609532, 1.85106236, 0.001293
0.483890489, 1.85106733, 0.001293
0.484171773, 1.85107319, 0.00129296
0.484453384, 1.85107813, 0.001292
0.484735323, 1.85108403, 0.001292
0.485017591, 1.85108894, 0.001292
0.485300187, 1.85109289, 0.00129103
0.485583113, 1.85109778, 0.001291
0.485866369, 1.8511027, 0.001291
0.486149955, 1.85110669, 0.00129008
0.486433873, 1.85111153, 0.00129
0.486718122, 1.85111556, 0.00129
0.487002704, 1.85111949, 0.00128913
0.487287619, 1.85112343, 0.001289
0.487572868, 1.85112736, 0.001289
0.48785845, 1.8511313, 0.00128818
0.488144368, 1.85113442, 0.001288
0.48843062, 1.85113737, 0.001288
0.488717209, 1.8511411, 0.001288
0.489004134, 1.85114428, 0.00128724
0.489291396, 1.85114723, 0.001287
0.489578996, 1.85115018, 0.001287
0.489866935, 1.85115313, 0.00128629
0.490155212, 1.85115539, 0.00130262
0.490443828, 1.85115803, 0.0013073
0.490732785, 1.85116032, 0.00130402
0.491022082, 1.85116229, 0.00130043
0.491311721, 1.85116425, 0.00129649
0.491601702, 1.85116622, 0.00129317
0.491892025, 1.85116819, 0.00129022
0.492182691, 1.85117015, 0.00128669
0.492473701, 1.85117156, 0.00128332
0.492765055, 1.85117309, 0.00128037
0.493056755, 1.85117453, 0.00127742
0.493348799, 1.85117551, 0.00127447
0.49364119, 1.85117649, 0.00127152
0.493933928, 1.85117748, 0.00126856
0.494227013, 1.85117846, 0.00126561
0.494520446, 1.85117945, 0.00126266
0.494814228, 1.85118, 0.00125971
0.495108359, 1.85118041, 0.00125676
0.49540284, 1.851181, 0.00125421
0.495697672, 1.851181, 0.00125186
0.495992854, 1.851181, 0.00124891
0.496288388, 1.851181, 0.00124631
0.496584275, 1.851181, 0.00124401
0.496880515, 1.851181, 0.00124137
0.497177108, 1.851181, 0.00123911
0.497474056, 1.85118072, 0.00123644
0.497771359, 1.85118, 0.00123421
0.498069017, 1.85117975, 0.0012315
0.498367031, 1.85117877, 0.00122954
0.498665403, 1.851178, 0.00122736
0.498964131, 1.8511778, 0.0012246
0.499263218, 1.85117682, 0.00122264
0.499562664, 1.85117583, 0.00122067
0.499862469, 1.85117485, 0.00121974
0.500162634, 1.85117373, 0.00122466
0.50046316, 1.85117188, 0.00122865
0.500764047, 1.8511709, 0.0012256
0.501065296, 1.85116983, 0.00122175
0.501366908, 1.85116787, 0.0012188
0.501668883, 1.85116595, 0.00121585
0.501971223, 1.85116493, 0.00121287
0.502273926, 1.85116296, 0.00120895
0.502576996, 1.851161, 0.001206
0.502880431, 1.85115903, 0.00120305
0.503184232, 1.85115803, 0.0012001
0.503488401, 1.8511561, 0.0011981
0.503792938, 1.8511532, 0.0011952
0.504097844, 1.85115116, 0.00119225
0.504403119, 1.8511492, 0.00118929
0.504708764, 1.85114723, 0.00118634
0.505014779, 1.85114439, 0.00118426
0.505321166, 1.85114229, 0.00118144
0.505627925, 1.85114033, 0.00117933
0.505935056, 1.85113754, 0.00117654
0.506242561, 1.85113539, 0.00117359
0.50655044, 1.85113264, 0.00117143
0.506858693, 1.85112969, 0.00116946
0.507167322, 1.85112674, 0.00116674
0.507476327, 1.85112453, 0.00116453
0.507785709, 1.85112184, 0.00116184
0.508095468, 1.85111889, 0.00115959
0.508405605, 1.85111594, 0.00115762
0.508716122, 1.85111298, 0.00115566
0.509027017, 1.85111004, 0.00115369
0.509338293, 1.85110709, 0.00115109
0.50964995, 1.85110413, 0.00114876
0.509961989, 1.85110118, 0.00115103
0.51027441, 1.85109823, 0.00116596
0.510587214, 1.85109471, 0.00117271
0.510900401, 1.85109133, 0.00116933
0.511213973, 1.85108838, 0.00116638
0.511527931, 1.85108543, 0.00116343
0.511842274, 1.85108197, 0.00115997
0.512157003, 1.85107853, 0.00115653
