wavelen (um), n, k
0.124, 2.061, 0.867
0.1265, 2.074, 0.819
0.1278, 2.079, 0.798
0.1305, 2.091, 0.761
0.1333, 2.103, 0.728
0.1378, 2.13, 0.679
0.1409, 2.147, 0.642
0.1459, 2.16, 0.587
0.1512, 2.171, 0.545
0.1531, 2.168, 0.632
0.155, 2.154, 0.63
0.156, 2.145, 0.539
0.1569, 2.137, 0.558
0.1579, 3.137, 0.689
0.1583, 2.126, 0.611
0.159, 2.132, 0.651
0.16, 2.18, 0.731
0.161, 2.27, 0.813
0.1614, 2.327, 0.851
0.1619, 2.389, 0.885
0.1623, 2.498, 0.936
0.1625, 2.574, 0.949
0.1627, 2.605, 0.944
0.1629, 2.753, 0.912
0.1631, 2.839, 0.866
0.1634, 2.922, 0.8
0.1636, 2.994, 0.711
0.1638, 3.048, 0.6
0.164, 3.061, 0.474
0.1642, 3.035, 0.36
0.1644, 2.999, 0.272
0.1647, 2.944, 0.204
0.1649, 2.892, 0.149
0.1653, 2.793, 0.076
0.1658, 2.701, 0.039
0.1664, 2.603, 0.018
0.1675, 2.494, 0.002
0.1687, 2.419, -1
0.1698, 2.363, -1
0.1703, 2.346, 0.000136
0.171, 2.319, -1
0.1722, 2.281, 0.000076
0.1726, 2.269, 0.0000687
0.1734, 2.248, -1
0.1737, 2.241, 0.0000553
0.1746, 2.22, -1
0.1757, 2.198, 0.0000419
0.1759, 2.196, -1
0.1771, 2.176, 0.000037
0.1797, 2.141, -1
0.18, 2.138, 0.0000286
0.1823, 2.11, -1
0.1851, 2.084, 0.00002
0.1879, 2.06, -1
0.1907, 2.039, 0.0000139
0.1937, 2.02, -1
0.2, 1.986, 0.0000111
0.2066, 1.958, 0.00001
0.2138, 1.933, 0.0000085
0.2214, 1.911, 0.000007
0.2254, 1.901, 0.000006
0.2296, 1.892, 0.000005
0.2384, 1.874, 0.0000037
0.2436, 1.865, 0.0000032
0.248, 1.858, 0.0000031
0.261, 1.84, -1
0.2755, 1.824, -1
0.2917, 1.81, -1
0.31, 1.798, -1
0.3306, 1.785, -1
0.3511, 1.7768, -1
0.3556, 1.7755, 0.00000085
0.3609, 1.7732, 0.000000575
0.36117, 1.77318, 0.000000565
0.36502, 1.77186, 0.00000049
0.3821, 1.7668, 0.000000275
0.3867, 1.7655, 0.000000245
0.3834, 1.7638, 0.00000022
0.4047, 1.76104, 0.000000195
0.431, 1.7557, 0.00000017
0.4358, 1.75471, 0.000000165
0.4578, 1.7512, 0.000000145
0.478, 1.7483, 0.000000115
0.4861, 1.74711, 0.0000001
0.488, 1.7469, 9.75E-08
0.5, 1.7454, 8.25E-08
0.5024, 1.7453, 0.00000008
0.5085, 1.74446, 0.00000007
0.5145, 1.7439, 6.55E-08
0.5461, 1.74077, -1
0.5883, 1.73737, -1
0.6328, 1.7346, -1
0.6438, 1.734, -1
0.6563, 1.73335, -1
0.6678, 1.73277, -1
0.6807, 1.73191, -1
0.7065, 1.73101, -1
0.7678, 1.72872, -1
1, 1.7229, -1
1.01388, 1.72259, -1
1.06, 1.7217, -1
1.12866, 1.72059, -1
1.319, 1.7177, 0.000000071
1.36728, 1.71715, -1
1.5, 1.7153, -1
1.52852, 1.71496, -1
1.55, 1.7147, -1
1.6932, 1.71281, -1
1.7082, 1.71258, -1
1.81307, 1.71108, -1
